City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
136,Yellowknife,CA,2021-10-12 10:14:51,62.456,-114.3525,28.42,95,11,5.99
137,Evanston,US,2021-10-12 10:14:52,42.0411,-87.6901,63.12,96,90,3.0
138,Mataura,NZ,2021-10-12 10:14:52,-46.1927,168.8643,39.52,90,88,8.52
139,Sioux Lookout,CA,2021-10-12 10:14:52,50.1001,-91.917,45.64,93,20,5.01
140,Clyde River,CA,2021-10-12 10:10:26,70.4692,-68.5914,29.17,82,48,4.07
141,Port Elizabeth,ZA,2021-10-12 10:14:53,-33.918,25.5701,74.1,51,75,10.11
142,Ilulissat,GL,2021-10-12 10:14:53,69.2167,-51.1,21.22,79,20,5.75
143,Banjarmasin,ID,2021-10-12 10:14:53,-3.3244,114.591,86.14,62,94,6.98
144,Ishigaki,JP,2021-10-12 10:14:54,24.3448,124.1572,82.56,86,85,25.64
145,Pitimbu,BR,2021-10-12 10:14:54,-7.4706,-34.8086,81.19,72,78,10.76
146,Evensk,RU,2021-10-12 10:12:18,61.95,159.2333,26.8,63,99,1.92
147,Novogurovskiy,RU,2021-10-12 10:14:55,54.4678,37.3428,54.99,48,62,11.23
148,Cape Town,ZA,2021-10-12 10:14:55,-33.9258,18.4232,77.11,49,99,1.99
149,Kavieng,PG,2021-10-12 10:14:55,-2.5744,150.7967,83.34,77,30,10.69
150,Victoria,HK,2021-10-12 10:10:01,22.2855,114.1577,80.26,69,100,1.99
151,Tuktoyaktuk,CA,2021-10-12 10:14:56,69.4541,-133.0374,25.05,86,31,12.24
152,Chuy,UY,2021-10-12 10:14:56,-33.6971,-53.4616,60.89,98,99,3.11
153,San Patricio,US,2021-10-12 10:14:56,28.017,-97.5169,82.83,84,70,13.51
154,Valdemoro,ES,2021-10-12 10:14:03,40.1908,-3.6789,69.1,63,0,2.3
155,Alto Piquiri,BR,2021-10-12 10:14:57,-24.0281,-53.4406,66.31,84,21,3.04
156,Jiazi,CN,2021-10-12 10:14:57,22.8779,116.067,78.03,72,100,27.72
157,Charters Towers,AU,2021-10-12 10:14:58,-20.1,146.2667,78.73,47,71,6.64
158,Port Hardy,CA,2021-10-12 10:14:58,50.6996,-127.4199,46.58,87,90,19.57
159,Mahajanga,MG,2021-10-12 10:14:58,-15.7167,46.3167,91.42,38,20,11.5
160,Dubuque,US,2021-10-12 10:14:59,42.4833,-90.8668,56.62,85,90,6.91
